campaign_id,campaign_name,campaign_type,platform,product_id,start_date,end_date,budget,actual_spend,impressions,clicks,created_at
36,Video - LinkedIn - Jan2020,Video,LinkedIn,6,2020-01-23,2020-04-14,36580,29406.81,5873497,209847,2020-01-20T00:00:00
37,Video - LinkedIn - Jan2020,Video,LinkedIn,16,2020-01-23,2020-04-14,36580,29406.81,5873497,209847,2020-01-13T00:00:00
38,Video - LinkedIn - Jan2020,Video,LinkedIn,34,2020-01-23,2020-04-14,36580,29406.81,5873497,209847,2020-01-10T00:00:00
39,Social Media - Google - Mar2022,Social Media,Google,4,2022-03-18,2022-03-27,13668,12887.86,1762928,41319,2022-03-08T00:00:00
40,Influencer - Facebook - Nov2022,Influencer,Facebook,58,2022-11-20,2023-02-06,64782,77590.37,10907652,697341,2022-11-07T00:00:00
41,Influencer - Facebook - Nov2022,Influencer,Facebook,59,2022-11-20,2023-02-06,64782,77590.37,10907652,697341,2022-11-10T00:00:00
42,Email - LinkedIn - Feb2023,Email,LinkedIn,38,2023-02-25,2023-05-06,5239,6101.24,1755339,18910,2023-02-12T00:00:00
43,Email - LinkedIn - Feb2023,Email,LinkedIn,37,2023-02-25,2023-05-06,5239,6101.24,1755339,18910,2023-02-14T00:00:00
44,Search - LinkedIn - Dec2024,Search,LinkedIn,12,2024-12-25,2025-01-19,99704,116171.44,-39493222,1334813,2024-12-17T00:00:00
45,Search - LinkedIn - Dec2024,Search,LinkedIn,34,2024-12-25,2025-01-19,99704,116171.44,-39493222,1334813,2024-12-20T00:00:00
46,Search - LinkedIn - Dec2024,Search,LinkedIn,27,2024-12-25,2025-01-19,99704,116171.44,-39493222,1334813,2024-12-18T00:00:00
47,Display - TikTok - Jul2024,Display,TikTok,55,2024-07-22,2024-08-11,18960,17056.63,7822206,511077,2024-07-19T00:00:00
48,Display - TikTok - Jul2024,Display,TikTok,22,2024-07-22,2024-08-11,18960,17056.63,7822206,511077,2024-07-11T00:00:00
49,Display - TikTok - Jul2024,Display,TikTok,17,2024-07-22,2024-08-11,18960,17056.63,7822206,511077,2024-07-15T00:00:00
50,Display - TikTok - Jul2024,Display,TikTok,8,2024-07-22,2024-08-11,18960,17056.63,7822206,511077,2024-07-18T00:00:00
51,Display - LinkedIn - Oct2023,Display,LinkedIn,26,2023-10-27,2023-12-28,10071,10793.08,3190942,52689,2023-10-19T00:00:00
52,Display - LinkedIn - Oct2023,Display,LinkedIn,14,2023-10-27,2023-12-28,10071,10793.08,3190942,52689,2023-10-17T00:00:00
53,Display - LinkedIn - Oct2023,Display,LinkedIn,60,2023-10-27,2023-12-28,10071,10793.08,3190942,52689,2023-10-19T00:00:00
54,Display - LinkedIn - Oct2023,Display,LinkedIn,61,2023-10-27,2023-12-28,10071,10793.08,3190942,52689,2023-10-25T00:00:00
55,Display - LinkedIn - Oct2023,Display,LinkedIn,54,2023-10-27,2023-12-28,10071,10793.08,3190942,52689,2023-10-16T00:00:00
56,Video - Google - Jan2023,Video,Google,20,2023-01-14,2023-03-03,8322,,3311832,160392,2023-01-13T00:00:00
57,Video - Google - Jan2023,Video,Google,14,2023-01-14,2023-03-03,8322,,3311832,160392,2023-01-04T00:00:00
58,Video - Google - Jan2023,Video,Google,35,2023-01-14,2023-03-03,8322,,3311832,160392,2023-01-05T00:00:00
59,Video - Google - Jan2023,Video,Google,9,2023-01-14,2023-03-03,8322,,3311832,160392,2023-01-13T00:00:00
60,Video - Google - Jan2023,Video,Google,63,2023-01-14,2023-03-03,8322,,3311832,160392,2022-12-31T00:00:00
61,Influencer - Instagram - Nov2020,Influencer,Instagram,55,2020-11-21,2021-01-13,72715,76756.02,7369052,484506,2020-11-09T00:00:00
62,Influencer - Instagram - Nov2020,Influencer,Instagram,58,2020-11-21,2021-01-13,72715,76756.02,7369052,484506,2020-11-18T00:00:00
63,Influencer - Instagram - Nov2020,Influencer,Instagram,42,2020-11-21,2021-01-13,72715,76756.02,7369052,484506,2020-11-20T00:00:00
64,Influencer - Instagram - Nov2020,Influencer,Instagram,8,2020-11-21,2021-01-13,72715,76756.02,7369052,484506,2020-11-15T00:00:00
65,Influencer - Instagram - Nov2020,Influencer,Instagram,30,2020-11-21,2021-01-13,72715,76756.02,7369052,484506,2020-11-20T00:00:00
66,Social Media - YouTube - Sep2023,Social Media,YouTube,19,2023-09-08,2023-10-26,19539,23301.9,6503261,449426,2023-08-27T00:00:00
67,Social Media - YouTube - Sep2023,Social Media,YouTube,54,2023-09-08,2023-10-26,19539,23301.9,6503261,449426,2023-08-25T00:00:00
68,Social Media - YouTube - Sep2023,Social Media,YouTube,27,2023-09-08,2023-10-26,19539,23301.9,6503261,449426,2023-08-30T00:00:00
69,Social Media - YouTube - Aug2020,Social Media,YouTube,60,2020-08-30,2020-09-08,45512,48866.26,-14873711,231067,2020-08-21T00:00:00
70,Display - TikTok - Feb2021,Display,TikTok,37,2021-02-26,2021-03-12,22981,20554.54,1206136,56572,2021-02-20T00:00:00
71,Display - TikTok - Feb2021,Display,TikTok,46,2021-02-26,2021-03-12,22981,20554.54,1206136,56572,2021-02-12T00:00:00
72,Display - TikTok - Feb2021,Display,TikTok,3,2021-02-26,2021-03-12,22981,20554.54,1206136,56572,2021-02-13T00:00:00
73,Influencer - Facebook - Mar2023,Influencer,Facebook,40,2023-03-16,2023-05-06,68205,68259.79,12885217,212758,2023-03-14T00:00:00
74,Search - Twitter - Jan2021,Search,Twitter,46,2021-01-08,2021-02-18,24778,19636.23,4491147,318053,2021-01-02T00:00:00
75,Search - Twitter - Jan2021,Search,Twitter,20,2021-01-08,2021-02-18,24778,19636.23,4491147,318053,2020-12-25T00:00:00
76,Search - Twitter - Jan2021,Search,Twitter,48,2021-01-08,2021-02-18,24778,19636.23,4491147,318053,2021-01-06T00:00:00
77,Search - Twitter - Jan2021,Search,Twitter,28,2021-01-08,2021-02-18,24778,19636.23,4491147,318053,2021-01-04T00:00:00
78,Search - Twitter - Jan2021,Search,Twitter,5,2021-01-08,2021-02-18,24778,19636.23,4491147,318053,2021-01-02T00:00:00
79,Influencer - Instagram - May2022,Influencer,Instagram,8,2022-05-14,2022-07-24,16083,12060.67,5531297,206250,2022-04-30T00:00:00
80,Influencer - Instagram - May2022,Influencer,Instagram,5,2022-05-14,2022-07-24,16083,12060.67,5531297,206250,2022-05-10T00:00:00
81,Influencer - Instagram - May2022,Influencer,Instagram,59,2022-05-14,2022-07-24,16083,12060.67,5531297,206250,2022-05-08T00:00:00
82,Influencer - YouTube - Sep2023,Influencer,YouTube,53,2023-09-08,2023-10-23,25746,22297.43,4087516,259046,2023-08-30T00:00:00
83,Influencer - YouTube - Sep2023,Influencer,YouTube,44,2023-09-08,2023-10-23,25746,22297.43,4087516,259046,2023-09-03T00:00:00
84,Influencer - YouTube - Sep2023,Influencer,YouTube,32,2023-09-08,2023-10-23,25746,22297.43,4087516,259046,2023-09-07T00:00:00
85,Influencer - YouTube - Sep2023,Influencer,YouTube,31,2023-09-08,2023-10-23,25746,22297.43,4087516,259046,2023-08-27T00:00:00
86,Display - LinkedIn - Feb2021,Display,LinkedIn,6,2021-02-23,2021-03-15,8254,8707.62,1072866,42128,2021-02-12T00:00:00
87,Display - LinkedIn - Feb2021,Display,LinkedIn,30,2021-02-23,2021-03-15,8254,8707.62,1072866,42128,2021-02-10T00:00:00
88,Email - LinkedIn - Sep2020,Email,LinkedIn,50,2020-09-05,2020-10-31,3493,3406.94,1472657,83364,2020-08-22T00:00:00
89,Video - TikTok - Nov2020,Video,TikTok,61,2020-11-26,2020-12-15,83282,82023.78,16340508,467895,2020-11-25T00:00:00
90,Video - TikTok - Nov2020,Video,TikTok,45,2020-11-26,2020-12-15,83282,82023.78,16340508,467895,2020-11-19T00:00:00
91,Video - TikTok - Nov2020,Video,TikTok,36,2020-11-26,2020-12-15,83282,82023.78,16340508,467895,2020-11-21T00:00:00
92,Video - TikTok - Nov2020,Video,TikTok,29,2020-11-26,2020-12-15,83282,82023.78,16340508,467895,2020-11-16T00:00:00
93,Video - TikTok - Nov2020,Video,TikTok,51,2020-11-26,2020-12-15,83282,82023.78,16340508,467895,2020-11-18T00:00:00
94,Display - TikTok - Nov2020,Display,TikTok,6,2020-11-04,2020-11-18,17755,19820.26,6709595,77379,2020-10-21T00:00:00
95,Display - TikTok - Nov2020,Display,TikTok,26,2020-11-04,2020-11-18,17755,19820.26,6709595,77379,2020-10-31T00:00:00
96,Display - TikTok - Nov2020,Display,TikTok,58,2020-11-04,2020-11-18,17755,19820.26,6709595,77379,2020-10-29T00:00:00
97,Display - TikTok - Nov2020,Display,TikTok,27,2020-11-04,2020-11-18,17755,19820.26,6709595,77379,2020-10-26T00:00:00
98,Display - TikTok - Nov2020,Display,TikTok,29,2020-11-04,2020-11-18,17755,19820.26,6709595,77379,2020-10-28T00:00:00
99,Influencer - Google - Nov2023,Influencer,Google,60,2023-11-03,2023-12-30,20304,20180.44,4171086,115468,2023-10-28T00:00:00
100,Influencer - Google - Nov2023,Influencer,Google,63,2023-11-03,2023-12-30,20304,20180.44,4171086,115468,2023-10-30T00:00:00
101,Influencer - Google - Nov2023,Influencer,Google,1,2023-11-03,2023-12-30,20304,20180.44,4171086,115468,2023-10-28T00:00:00
102,Email - YouTube - Sep2023,Email,YouTube,50,2023-09-18,2023-10-13,697,,-261618,14063,2023-09-05T00:00:00
103,Email - YouTube - Sep2023,Email,YouTube,1,2023-09-18,2023-10-13,697,,-261618,14063,2023-09-14T00:00:00
104,Email - YouTube - Sep2023,Email,YouTube,17,2023-09-18,2023-10-13,697,,-261618,14063,2023-09-14T00:00:00
105,Email - YouTube - Sep2023,Email,YouTube,30,2023-09-18,2023-10-13,697,,-261618,14063,2023-09-14T00:00:00
106,Video - Facebook - Mar2023,Video,Facebook,11,2023-03-02,2023-05-26,60564,69256.96,16733451,430417,2023-02-22T00:00:00
107,Video - Google - Nov2020,Video,Google,46,2020-11-05,2020-12-11,17299,19770.97,3519771,259367,2020-11-04T00:00:00
108,Video - Google - Nov2020,Video,Google,28,2020-11-05,2020-12-11,17299,19770.97,3519771,259367,2020-10-28T00:00:00
109,Video - Google - Nov2020,Video,Google,23,2020-11-05,2020-12-11,17299,19770.97,3519771,259367,2020-10-29T00:00:00
110,Video - Google - Nov2020,Video,Google,2,2020-11-05,2020-12-11,17299,19770.97,3519771,259367,2020-10-25T00:00:00
111,Email - TikTok - Jan2021,Email,TikTok,53,2021-01-23,2021-03-05,7944,9004.35,2366860,116770,2021-01-10T00:00:00
112,Email - TikTok - Jan2021,Email,TikTok,7,2021-01-23,2021-03-05,7944,9004.35,2366860,116770,2021-01-11T00:00:00
113,Email - TikTok - Jan2021,Email,TikTok,38,2021-01-23,2021-03-05,7944,9004.35,2366860,116770,2021-01-21T00:00:00
114,Video - Instagram - Jan2022,Video,Instagram,6,2022-01-20,2022-02-26,85462,,23338682,260617,2022-01-08T00:00:00
115,Video - Instagram - Jan2022,Video,Instagram,56,2022-01-20,2022-02-26,85462,,23338682,260617,2022-01-06T00:00:00
116,Video - Instagram - Jan2022,Video,Instagram,21,2022-01-20,2022-02-26,85462,,23338682,260617,2022-01-06T00:00:00
117,Video - Instagram - Jan2022,Video,Instagram,18,2022-01-20,2022-02-26,85462,,23338682,260617,2022-01-11T00:00:00
118,Influencer - Google - Nov2024,Influencer,Google,48,2024-11-02,2024-12-16,66589,,14108227,485150,2024-11-01T00:00:00
119,Influencer - Google - Jun2022,Influencer,Google,24,2022-06-19,2022-07-17,38208,34634.32,10403716,489738,2022-06-16T00:00:00
120,Influencer - Google - Jun2022,Influencer,Google,12,2022-06-19,2022-07-17,38208,34634.32,10403716,489738,2022-06-16T00:00:00
121,Influencer - Google - Jun2022,Influencer,Google,57,2022-06-19,2022-07-17,38208,34634.32,10403716,489738,2022-06-09T00:00:00
122,Influencer - Google - Jun2022,Influencer,Google,41,2022-06-19,2022-07-17,38208,34634.32,10403716,489738,2022-06-17T00:00:00
123,Video - YouTube - Dec2022,Video,YouTube,60,2022-12-31,2023-03-24,57266,61909.02,13225805,514922,2022-12-18T00:00:00
124,Influencer - Google - Jul2020,Influencer,Google,26,2020-07-10,2020-10-03,62832,61949.15,24870040,1486670,2020-06-29T00:00:00
125,Influencer - Google - Jul2020,Influencer,Google,64,2020-07-10,2020-10-03,62832,61949.15,24870040,1486670,2020-06-29T00:00:00
126,Influencer - Google - Jul2020,Influencer,Google,46,2020-07-10,2020-10-03,62832,61949.15,24870040,1486670,2020-07-04T00:00:00
127,Influencer - Google - Oct2023,Influencer,Google,52,2023-10-30,2024-01-08,43429,34114.75,4956092,159063,2023-10-17T00:00:00
128,Influencer - Google - Oct2023,Influencer,Google,57,2023-10-30,2024-01-08,43429,34114.75,4956092,159063,2023-10-20T00:00:00
129,Influencer - Google - Oct2023,Influencer,Google,6,2023-10-30,2024-01-08,43429,34114.75,4956092,159063,2023-10-27T00:00:00
130,Search - TikTok - Jun2021,Search,TikTok,12,2021-06-08,2021-08-10,53857,52649.42,7997001,552130,2021-05-28T00:00:00
131,Search - TikTok - Jun2021,Search,TikTok,45,2021-06-08,2021-08-10,53857,52649.42,7997001,552130,2021-05-27T00:00:00
132,Search - TikTok - Jun2021,Search,TikTok,9,2021-06-08,2021-08-10,53857,52649.42,7997001,552130,2021-05-27T00:00:00
133,Search - TikTok - Jun2021,Search,TikTok,29,2021-06-08,2021-08-10,53857,52649.42,7997001,552130,2021-05-25T00:00:00
134,Video - Instagram - Jul2023,Video,Instagram,39,2023-07-23,2023-08-14,72350,76858.09,18024654,1210386,2023-07-11T00:00:00
135,Search - Google - May2023,Search,Google,18,2023-05-22,2023-07-25,99683,74766.48,24123377,1408412,2023-05-11T00:00:00
136,Search - Google - May2023,Search,Google,38,2023-05-22,2023-07-25,99683,74766.48,24123377,1408412,2023-05-18T00:00:00
137,Search - Google - May2023,Search,Google,50,2023-05-22,2023-07-25,99683,74766.48,24123377,1408412,2023-05-20T00:00:00
138,Search - Google - May2023,Search,Google,17,2023-05-22,2023-07-25,99683,74766.48,24123377,1408412,2023-05-18T00:00:00
139,Search - Google - May2023,Search,Google,24,2023-05-22,2023-07-25,99683,74766.48,24123377,1408412,2023-05-18T00:00:00
140,Influencer - LinkedIn - Nov2024,Influencer,LinkedIn,9,2024-11-10,2024-12-08,77712,75551.23,30585395,1365531,2024-11-05T00:00:00
141,Influencer - LinkedIn - Nov2024,Influencer,LinkedIn,58,2024-11-10,2024-12-08,77712,75551.23,30585395,1365531,2024-10-27T00:00:00
142,Influencer - LinkedIn - Nov2024,Influencer,LinkedIn,15,2024-11-10,2024-12-08,77712,75551.23,30585395,1365531,2024-11-06T00:00:00
143,Influencer - Google - Oct2020,Influencer,Google,6,2020-10-06,2020-11-18,75837,76636.03,24177133,475969,2020-09-28T00:00:00
144,Influencer - Google - Oct2020,Influencer,Google,2,2020-10-06,2020-11-18,75837,76636.03,24177133,475969,2020-10-04T00:00:00
145,Influencer - Google - Oct2020,Influencer,Google,57,2020-10-06,2020-11-18,75837,76636.03,24177133,475969,2020-10-03T00:00:00
146,Influencer - Google - Oct2020,Influencer,Google,30,2020-10-06,2020-11-18,75837,76636.03,24177133,475969,2020-10-03T00:00:00
147,Display - LinkedIn - Sep2021,Display,LinkedIn,45,2021-09-16,2021-11-24,13649,12491.78,5251861,362746,2021-09-15T00:00:00
148,Display - LinkedIn - Sep2021,Display,LinkedIn,31,2021-09-16,2021-11-24,13649,12491.78,5251861,362746,2021-09-05T00:00:00
149,Display - LinkedIn - Sep2021,Display,LinkedIn,37,2021-09-16,2021-11-24,13649,12491.78,5251861,362746,2021-09-07T00:00:00
150,Display - LinkedIn - Sep2021,Display,LinkedIn,30,2021-09-16,2021-11-24,13649,12491.78,5251861,362746,2021-09-08T00:00:00
151,Social Media - Twitter - Sep2020,Social Media,Twitter,63,2020-09-07,2020-10-01,29681,31414.44,6048569,125690,2020-08-31T00:00:00
152,Social Media - Twitter - Sep2020,Social Media,Twitter,48,2020-09-07,2020-10-01,29681,31414.44,6048569,125690,2020-08-30T00:00:00
153,Social Media - Twitter - Sep2020,Social Media,Twitter,42,2020-09-07,2020-10-01,29681,31414.44,6048569,125690,2020-09-03T00:00:00
154,Social Media - Twitter - Sep2020,Social Media,Twitter,44,2020-09-07,2020-10-01,29681,31414.44,6048569,125690,2020-09-03T00:00:00
155,Social Media - Twitter - Sep2020,Social Media,Twitter,61,2020-09-07,2020-10-01,29681,31414.44,6048569,125690,2020-08-31T00:00:00
156,Search - Instagram - Feb2023,Search,Instagram,1,2023-02-18,2023-03-01,2907,2780.05,936136,24346,2023-02-14T00:00:00
157,Search - Instagram - Feb2023,Search,Instagram,38,2023-02-18,2023-03-01,2907,2780.05,936136,24346,2023-02-04T00:00:00
158,Search - Instagram - Feb2023,Search,Instagram,58,2023-02-18,2023-03-01,2907,2780.05,936136,24346,2023-02-04T00:00:00
159,Search - Instagram - Feb2023,Search,Instagram,6,2023-02-18,2023-03-01,2907,2780.05,936136,24346,2023-02-05T00:00:00
160,Email - LinkedIn - May2021,Email,LinkedIn,38,2021-05-06,2021-07-29,2196,1800.36,650135,51771,2021-04-27T00:00:00
161,Email - LinkedIn - May2021,Email,LinkedIn,19,2021-05-06,2021-07-29,2196,1800.36,650135,51771,2021-04-30T00:00:00
162,Email - LinkedIn - May2021,Email,LinkedIn,49,2021-05-06,2021-07-29,2196,1800.36,650135,51771,2021-04-23T00:00:00
163,Email - LinkedIn - May2021,Email,LinkedIn,42,2021-05-06,2021-07-29,2196,1800.36,650135,51771,2021-04-24T00:00:00
164,Email - LinkedIn - May2021,Email,LinkedIn,44,2021-05-06,2021-07-29,2196,1800.36,650135,51771,2021-04-28T00:00:00
165,Search - Instagram - Apr2020,Search,Instagram,24,2020-04-02,2020-05-04,50145,38225.02,2876564,45645,2020-03-23T00:00:00
166,Search - Instagram - Apr2020,Search,Instagram,53,2020-04-02,2020-05-04,50145,38225.02,2876564,45645,2020-03-22T00:00:00
167,Video - TikTok - Nov2022,Video,TikTok,7,2022-11-04,2023-01-17,8609,,804993,60021,2022-11-01T00:00:00
168,Video - TikTok - Nov2022,Video,TikTok,2,2022-11-04,2023-01-17,8609,,804993,60021,2022-10-27T00:00:00
169,Display - TikTok - May2023,Display,TikTok,34,2023-05-02,2023-05-31,28200,27374.71,8728202,175431,2023-05-01T00:00:00
170,Display - TikTok - May2023,Display,TikTok,54,2023-05-02,2023-05-31,28200,27374.71,8728202,175431,2023-04-29T00:00:00
171,Display - TikTok - May2023,Display,TikTok,62,2023-05-02,2023-05-31,28200,27374.71,8728202,175431,2023-04-30T00:00:00
172,Display - TikTok - May2023,Display,TikTok,30,2023-05-02,2023-05-31,28200,27374.71,8728202,175431,2023-04-22T00:00:00
173,Social Media - Google - Aug2024,Social Media,Google,44,2024-08-01,2024-08-27,40360,46396.02,8111746,143985,2024-07-25T00:00:00
174,Social Media - Google - Aug2024,Social Media,Google,60,2024-08-01,2024-08-27,40360,46396.02,8111746,143985,2024-07-20T00:00:00
175,Social Media - Google - Aug2024,Social Media,Google,54,2024-08-01,2024-08-27,40360,46396.02,8111746,143985,2024-07-20T00:00:00
176,Social Media - Google - Aug2024,Social Media,Google,56,2024-08-01,2024-08-27,40360,46396.02,8111746,143985,2024-07-21T00:00:00
177,Social Media - Google - Aug2024,Social Media,Google,43,2024-08-01,2024-08-27,40360,46396.02,8111746,143985,2024-07-26T00:00:00
178,Social Media - Instagram - May2022,Social Media,Instagram,40,2022-05-14,2022-06-30,44464,38849.05,16528844,514182,2022-05-13T00:00:00
179,Social Media - Instagram - May2022,Social Media,Instagram,25,2022-05-14,2022-06-30,44464,38849.05,16528844,514182,2022-05-03T00:00:00
180,Social Media - Instagram - May2022,Social Media,Instagram,7,2022-05-14,2022-06-30,44464,38849.05,16528844,514182,2022-05-07T00:00:00
181,Social Media - Instagram - May2022,Social Media,Instagram,64,2022-05-14,2022-06-30,44464,38849.05,16528844,514182,2022-05-03T00:00:00
182,Social Media - Instagram - May2022,Social Media,Instagram,22,2022-05-14,2022-06-30,44464,38849.05,16528844,514182,2022-05-04T00:00:00
183,Email - Facebook - Nov2023,Email,Facebook,57,2023-11-13,2023-12-06,335,,28979,1236,2023-11-05T00:00:00
184,Email - Facebook - Nov2023,Email,Facebook,58,2023-11-13,2023-12-06,335,,28979,1236,2023-10-30T00:00:00
185,Email - Facebook - Nov2023,Email,Facebook,30,2023-11-13,2023-12-06,335,,28979,1236,2023-11-10T00:00:00
186,Email - Facebook - Nov2023,Email,Facebook,7,2023-11-13,2023-12-06,335,,28979,1236,2023-11-12T00:00:00
187,Search - Google - Jan2023,Search,Google,37,2023-01-28,2023-03-01,10203,7459.91,1642405,129157,2023-01-15T00:00:00
188,Search - Google - Jan2023,Search,Google,13,2023-01-28,2023-03-01,10203,7459.91,1642405,129157,2023-01-26T00:00:00
189,Search - Google - Jan2023,Search,Google,31,2023-01-28,2023-03-01,10203,7459.91,1642405,129157,2023-01-21T00:00:00
190,Social Media - YouTube - May2023,Social Media,YouTube,47,2023-05-03,2023-05-31,9620,8612.01,2394798,80349,2023-04-27T00:00:00
191,Social Media - YouTube - May2023,Social Media,YouTube,4,2023-05-03,2023-05-31,9620,8612.01,2394798,80349,2023-04-24T00:00:00
192,Social Media - YouTube - May2023,Social Media,YouTube,20,2023-05-03,2023-05-31,9620,8612.01,2394798,80349,2023-05-02T00:00:00
193,Social Media - YouTube - May2023,Social Media,YouTube,27,2023-05-03,2023-05-31,9620,8612.01,2394798,80349,2023-04-22T00:00:00
194,Social Media - YouTube - May2023,Social Media,YouTube,52,2023-05-03,2023-05-31,9620,8612.01,2394798,80349,2023-05-01T00:00:00
195,Video - Twitter - Jul2021,Video,Twitter,29,2021-07-14,2021-08-09,56841,,16444556,678168,2021-07-03T00:00:00
196,Video - Twitter - Jul2021,Video,Twitter,28,2021-07-14,2021-08-09,56841,,16444556,678168,2021-07-07T00:00:00
197,Video - Twitter - Jul2021,Video,Twitter,63,2021-07-14,2021-08-09,56841,,16444556,678168,2021-07-04T00:00:00
198,Video - LinkedIn - May2022,Video,LinkedIn,40,2022-05-14,2022-07-09,20606,23536.93,6545714,224337,2022-05-11T00:00:00
199,Video - LinkedIn - Dec2020,Video,LinkedIn,21,2020-12-20,2021-01-25,53920,47485.0,7249581,362787,2020-12-10T00:00:00
200,Video - Twitter - Nov2022,Video,Twitter,39,2022-11-06,2022-12-24,81762,71901.82,24637266,438041,2022-10-30T00:00:00
201,Video - Twitter - Nov2022,Video,Twitter,47,2022-11-06,2022-12-24,81762,71901.82,24637266,438041,2022-11-03T00:00:00
202,Video - Instagram - Jul2023,Video,Instagram,28,2023-07-08,2023-08-21,53158,48703.62,3535362,269540,2023-06-27T00:00:00
