event_id,event_time,user_id,session_id,page_type,product_id,campaign_id,device,browser,session_duration_seconds
136,2021-01-05T07:31:03,,session_63177,product_detail,1,902,desktop,Chrome,1513
137,2023-04-17T01:24:09,,session_54035,product_detail,44,,desktop,Firefox,995
138,2024-03-04T06:28:35,3299,session_87212,search,,,mobile,Edge,590
139,2021-03-15T22:48:31,,session_99779,cart,,,desktop,Chrome,448
140,2023-01-17T19:38:56,4248,session_24625,category,,,tablet,Firefox,80
141,2021-08-19T03:02:13,,session_97368,product_detail,39,289,desktop,Safari,529
142,2021-09-09T05:04:41,4684,session_26629,home,,,,,1165
143,2024-10-24T08:50:48,157,session_41337,checkout,,,desktop,Firefox,858
144,2030-01-01T00:00:00,,session_98809,product_detail,11,323,desktop,Chrome,-1141
145,2023-01-25T11:56:32,2636,session_48164,product_detail,19,,mobile,Chrome,126
146,2020-03-13T10:22:14,,session_77571,search,,,desktop,Chrome,1675
147,2024-09-27T00:31:44,,session_90727,search,,,mobile,Safari,1783
148,2022-03-18T22:09:23,403,session_50420,category,,,mobile,Safari,476
149,2024-04-20T08:12:44,,session_15447,category,,,tablet,Safari,1661
150,2021-01-27T09:27:07,,session_68694,checkout,,,mobile,Firefox,1258
151,2022-11-18T06:36:41,1508,session_80285,category,,,mobile,Chrome,1313
152,2024-04-02T23:47:39,,session_55564,product_detail,38,,desktop,Safari,169
153,2020-06-28T21:07:57,,session_52927,search,,,mobile,Edge,584
154,2030-01-01T00:00:00,,session_2770,cart,,,mobile,Firefox,314
155,2024-11-23T12:18:22,,session_82512,home,,,desktop,Firefox,1582
156,2021-11-01T19:19:53,,session_34947,cart,,,mobile,Firefox,1155
157,2022-03-15T21:01:34,,session_80831,home,,,mobile,Chrome,270
158,2030-01-01T00:00:00,,session_14509,checkout,,,mobile,Chrome,818
159,2023-08-17T04:31:56,,session_44820,cart,,,tablet,Chrome,399
160,2030-01-01T00:00:00,2893,session_32138,search,,,desktop,Safari,330
161,2023-03-30T05:40:10,3641,session_38963,product_detail,51,,desktop,Edge,218
162,2021-12-23T05:18:05,,session_45022,account,,,mobile,Safari,1741
163,2023-03-23T14:44:23,1345,session_89062,home,,,tablet,Samsung Internet,392
164,2023-10-30T05:02:11,,session_3737,search,,,desktop,Firefox,-548
165,2022-07-20T01:14:58,,session_25168,account,,,mobile,Firefox,1187
166,2022-01-19T20:13:13,,session_38010,category,,,desktop,Samsung Internet,1120
167,2021-05-01T21:36:58,1771,session_72689,product_detail,50,,mobile,Edge,518
168,2020-07-08T15:50:47,,session_25249,home,,,desktop,Samsung Internet,261
169,2024-06-15T18:51:54,2300,session_56632,account,,,tablet,Samsung Internet,324
170,2024-06-06T01:30:02,3831,session_9248,product_detail,26,,mobile,Edge,1209
171,2020-09-10T23:04:29,,session_72634,checkout,,,tablet,Firefox,333
172,2024-02-06T00:28:36,3853,session_3197,account,,,desktop,Edge,888
173,2024-03-29T01:47:32,,session_23348,account,,,tablet,Firefox,1702
174,2024-05-10T16:46:42,3137,session_75406,cart,,,tablet,Edge,849
175,2023-08-20T11:33:42,,session_94166,product_detail,46,,desktop,Firefox,1527
176,2023-10-15T06:44:09,1239,session_13827,cart,,,tablet,Chrome,1236
177,2021-05-01T06:19:47,,session_44494,checkout,,,tablet,Edge,1203
178,2023-06-10T17:29:07,2261,session_15518,category,,,desktop,Chrome,1790
179,2021-11-10T19:10:07,,session_99854,cart,,,tablet,Chrome,1650
180,2020-05-29T22:55:07,,session_21030,checkout,,,tablet,Safari,415
181,2020-08-31T07:36:23,,session_17961,category,,,desktop,Samsung Internet,512
182,2021-09-06T20:39:50,,session_47255,product_detail,3,,mobile,Edge,1245
183,2024-10-12T22:50:08,2383,session_43255,category,,,desktop,Safari,166
184,2023-08-06T23:19:11,,session_62240,cart,,,mobile,Samsung Internet,62
185,2021-03-14T06:56:25,,session_47366,product_detail,53,,mobile,Firefox,1687
186,2023-10-19T13:40:07,,session_82266,search,,,mobile,Edge,1201
187,2022-09-06T23:29:14,3374,session_60295,checkout,,,tablet,Firefox,1204
188,2020-09-04T01:43:42,,session_38690,checkout,,,mobile,Samsung Internet,280
189,2024-11-08T01:35:56,,session_46646,category,,,desktop,Edge,1019
190,2024-07-26T22:49:06,4314,session_97704,cart,,,tablet,Edge,582
191,2021-05-05T07:06:05,,session_33356,search,,,,,651
192,2021-07-21T22:59:08,3187,session_46706,cart,,,,,764
193,2021-07-04T09:14:21,,session_88730,product_detail,44,164,mobile,Edge,857
194,2020-11-17T10:25:25,,session_5544,home,,,tablet,Chrome,1580
195,2022-02-10T21:37:39,1330,session_34583,checkout,,,tablet,Firefox,102
196,2020-01-23T10:49:10,,session_9405,search,,,mobile,Safari,623
197,2022-01-05T03:15:22,,session_67691,home,,,,,886
198,2024-02-01T00:02:15,612,session_34367,product_detail,59,,mobile,Chrome,939
199,2021-06-15T11:23:52,,session_10650,product_detail,40,,desktop,Samsung Internet,-1342
200,2024-11-09T21:47:17,,session_404,home,,,tablet,Chrome,1347
201,2021-10-19T04:30:17,,session_13541,checkout,,,mobile,Edge,1557
202,2022-03-01T02:05:22,,session_68003,product_detail,55,,mobile,Chrome,1302
203,2022-02-04T10:57:51,,session_11607,account,,,mobile,Firefox,888
204,2024-02-07T12:01:25,,session_36093,checkout,,,tablet,Edge,295
205,2021-01-15T22:06:49,,session_30113,checkout,,,desktop,Safari,236
206,2023-05-22T04:41:50,,session_22499,checkout,,,tablet,Firefox,343
207,2024-09-15T01:39:15,,session_33865,search,,,desktop,Edge,395
208,2020-11-03T09:37:30,,session_88299,search,,,desktop,Edge,1011
209,2021-06-29T03:56:55,1581,session_43620,account,,,desktop,Safari,1590
210,2021-03-27T21:10:14,3485,session_54293,cart,,,desktop,Firefox,700
211,2024-07-29T08:00:49,1294,session_11049,account,,,tablet,Samsung Internet,1341
212,2020-05-21T03:01:31,,session_62556,account,,,tablet,Safari,472
213,2020-06-28T12:17:46,4870,session_17908,search,,,tablet,Chrome,651
214,2020-04-03T04:24:42,,session_35152,product_detail,23,,desktop,Edge,687
215,2024-10-31T13:56:39,,session_10248,cart,,,mobile,Safari,1683
216,2023-09-12T10:57:57,4602,session_4540,category,,,mobile,Samsung Internet,757
217,2023-10-20T00:10:59,1211,session_64401,home,,,mobile,Firefox,1552
218,2023-10-15T02:55:20,,session_13363,search,,,mobile,Edge,975
219,2021-04-29T10:33:12,,session_52125,search,,,desktop,Firefox,778
220,2023-10-16T08:03:54,1290,session_28462,checkout,,,tablet,Chrome,1585
221,2023-07-31T08:14:39,4978,session_11299,search,,,mobile,Samsung Internet,302
222,2020-03-30T16:30:18,,session_82474,category,,,mobile,Firefox,1405
223,2021-03-31T21:13:16,,session_39191,product_detail,4,,desktop,Samsung Internet,1114
224,2030-01-01T00:00:00,,session_60456,home,,,desktop,Samsung Internet,838
225,2022-04-11T18:33:03,,session_79488,category,,,desktop,Samsung Internet,1442
226,2024-11-04T00:02:20,,session_4586,search,,,desktop,Chrome,471
227,2024-09-24T21:59:11,2595,session_65119,checkout,,,tablet,Chrome,400
228,2022-03-18T07:58:06,4121,session_97518,product_detail,34,354,mobile,Firefox,149
229,2024-10-07T00:03:58,1024,session_11746,search,,,,,155
230,2021-12-04T03:17:58,3116,session_44711,cart,,,mobile,Samsung Internet,1015
231,2023-04-29T21:39:19,4255,session_84952,checkout,,,mobile,Safari,380
232,2021-08-16T02:17:56,844,session_53763,category,,,tablet,Firefox,702
233,2022-10-07T09:44:54,3908,session_59574,home,,,tablet,Firefox,1565
234,2021-09-29T01:25:13,3710,session_16197,account,,,mobile,Samsung Internet,1548
235,2021-10-08T05:00:16,,session_83407,cart,,,mobile,Edge,258
236,2030-01-01T00:00:00,,session_64124,product_detail,61,804,desktop,Samsung Internet,192
237,2022-01-29T14:24:10,,session_22860,product_detail,49,,desktop,Samsung Internet,551
238,2023-09-03T08:48:33,23,session_37371,account,,,tablet,Edge,1391
239,2024-10-04T16:52:26,1631,session_97995,cart,,,mobile,Firefox,61
240,2021-03-11T18:36:21,2787,session_28979,home,,,mobile,Chrome,154
241,2021-01-17T15:23:26,,session_86472,search,,,desktop,Edge,1272
242,2020-12-21T09:11:42,,session_47222,search,,,tablet,Chrome,955
243,2021-06-06T03:18:16,,session_65632,account,,,mobile,Chrome,1694
244,2030-01-01T00:00:00,4684,session_46230,cart,,,mobile,Chrome,1634
245,2021-03-30T22:30:20,2657,session_62881,checkout,,,mobile,Edge,1112
246,2021-04-07T17:47:52,,session_64325,product_detail,57,,mobile,Chrome,239
247,2023-04-25T22:20:57,,session_81052,product_detail,29,,tablet,Firefox,480
248,2023-02-28T23:56:04,,session_58084,home,,,desktop,Firefox,1387
249,2023-11-10T11:41:27,3564,session_94555,account,,,tablet,Edge,1010
250,2020-01-08T14:47:37,,session_55258,home,,,desktop,Firefox,1418
251,2021-09-17T23:42:36,,session_73437,account,,,mobile,Firefox,1763
252,2023-11-12T01:07:17,,session_68989,category,,,desktop,Edge,577
253,2020-08-28T20:43:32,,session_29737,home,,,desktop,Firefox,495
254,2021-08-08T09:14:44,,session_22429,search,,,desktop,Samsung Internet,1000
255,2022-08-30T08:59:38,,session_81817,cart,,,mobile,Samsung Internet,1445
256,2020-06-08T03:32:52,,session_56696,home,,,desktop,Edge,406
257,2024-09-14T16:52:55,,session_57166,cart,,,tablet,Firefox,110
258,2022-07-21T08:59:32,4941,session_81579,cart,,,mobile,Edge,1788
259,2022-12-13T12:34:34,4344,session_30701,cart,,,tablet,Chrome,82
260,2021-10-16T17:01:04,,session_21336,category,,,,,1437
261,2021-05-29T16:14:20,,session_65347,cart,,,mobile,Samsung Internet,79
262,2021-11-11T05:49:46,,session_82982,account,,,mobile,Safari,1346
263,2022-05-17T17:59:46,,session_47699,home,,,desktop,Edge,127
264,2023-01-20T09:35:29,,session_71957,search,,,mobile,Safari,143
265,2030-01-01T00:00:00,,session_87273,product_detail,55,,mobile,Samsung Internet,1382
266,2024-01-14T11:25:09,2685,session_46580,account,,,desktop,Safari,668
267,2020-04-02T21:19:14,,session_2896,home,,,tablet,Firefox,527
268,2020-05-12T11:22:55,,session_40547,account,,,tablet,Edge,1252
269,2024-06-12T13:09:34,728,session_27127,account,,,mobile,Safari,427
270,2020-03-13T11:11:12,,session_96711,cart,,,mobile,Samsung Internet,1115
271,2024-06-05T00:50:33,,session_27765,product_detail,1,1124,tablet,Chrome,1135
272,2020-06-08T04:01:06,,session_1665,home,,,tablet,Edge,611
273,2024-11-19T02:18:11,,session_3307,home,,,mobile,Edge,1632
274,2020-03-22T04:44:19,,session_4673,home,,,desktop,Edge,314
275,2030-01-01T00:00:00,,session_57240,checkout,,,mobile,Chrome,1739
276,2024-02-01T05:16:15,,session_73915,product_detail,61,,mobile,Chrome,1587
277,2020-05-09T15:51:13,,session_69438,cart,,,mobile,Edge,468
278,2030-01-01T00:00:00,164,session_7276,product_detail,5,,desktop,Chrome,573
279,2023-12-07T08:59:11,1870,session_16963,account,,,mobile,Edge,1302
280,2021-06-07T00:23:37,,session_56977,product_detail,62,873,tablet,Chrome,1448
281,2022-08-24T22:54:25,,session_86287,checkout,,,desktop,Firefox,1081
282,2023-10-12T15:14:57,,session_22549,checkout,,,mobile,Safari,905
283,2030-01-01T00:00:00,,session_77874,checkout,,,desktop,Safari,1800
284,2022-06-25T12:24:29,,session_49334,account,,,mobile,Firefox,1469
285,2020-03-02T14:08:57,,session_36188,search,,,desktop,Firefox,1685
286,2020-12-10T19:16:55,,session_11649,search,,,desktop,Chrome,1683
287,2021-05-02T13:21:44,,session_47602,search,,,mobile,Samsung Internet,1322
288,2020-02-03T11:53:46,,session_52301,account,,,desktop,Safari,1226
289,2020-10-22T17:18:23,,session_44646,search,,,mobile,Firefox,427
290,2023-03-27T00:56:07,2825,session_18932,category,,,mobile,Firefox,1627
291,2022-08-14T03:28:01,2736,session_66887,search,,,desktop,Firefox,1718
292,2021-09-25T04:51:53,,session_49267,checkout,,,tablet,Edge,545
293,2020-01-16T14:22:00,,session_66623,home,,,desktop,Samsung Internet,121
294,2020-02-29T12:20:15,,session_277,cart,,,mobile,Chrome,668
295,2020-05-24T13:43:21,,session_74677,account,,,tablet,Edge,602
296,2023-09-28T05:13:17,482,session_25632,home,,,desktop,Firefox,1008
297,2020-05-24T17:24:32,,session_58384,search,,,desktop,Safari,621
298,2020-06-11T09:22:10,,session_53652,checkout,,,desktop,Samsung Internet,1298
299,2024-02-28T02:52:47,2631,session_76768,checkout,,,desktop,Edge,291
300,2021-05-23T07:38:05,,session_587,account,,,tablet,Edge,1549
301,2021-09-15T13:11:52,,session_6441,account,,,desktop,Edge,1368
302,2023-05-23T23:14:13,1896,session_84205,category,,,desktop,Safari,792
303,2030-01-01T00:00:00,1882,session_83483,category,,,mobile,Safari,976
304,2021-07-26T01:34:31,,session_81589,search,,,tablet,Samsung Internet,1554
305,2022-03-05T23:48:00,,session_15310,category,,,desktop,Chrome,1155
306,2020-04-04T07:08:35,,session_18287,search,,,,,1683
307,2023-05-07T19:01:10,,session_71261,account,,,mobile,Safari,748
308,2021-03-31T05:44:42,,session_97414,category,,,tablet,Samsung Internet,1376
309,2020-02-23T02:32:48,,session_47781,product_detail,57,,mobile,Safari,766
310,2021-11-24T06:54:52,,session_23770,checkout,,,desktop,Safari,188
311,2021-03-27T19:25:55,838,session_37367,home,,,tablet,Safari,431
312,2021-03-20T16:09:18,2765,session_28335,search,,,tablet,Safari,680
313,2023-01-04T12:25:36,,session_78084,home,,,tablet,Chrome,617
314,2020-11-01T10:47:53,3006,session_33743,category,,,mobile,Samsung Internet,1705
315,2023-12-30T09:12:54,,session_56571,home,,,desktop,Samsung Internet,1698
316,2023-01-11T19:31:01,833,session_46628,account,,,mobile,Firefox,1313
317,2023-02-11T01:26:52,2619,session_71157,search,,,tablet,Samsung Internet,-571
318,2021-10-30T01:28:48,,session_42282,category,,,desktop,Samsung Internet,1331
319,2023-05-08T15:42:21,3121,session_61309,product_detail,55,,mobile,Firefox,1170
320,2021-04-11T17:38:53,,session_82355,home,,,desktop,Firefox,1073
321,2024-03-24T00:32:58,3645,session_80407,category,,,desktop,Firefox,1030
322,2021-11-28T21:31:26,,session_78886,home,,,tablet,Edge,1129
323,2021-06-14T21:26:38,4752,session_27550,home,,,mobile,Firefox,641
324,2022-01-28T01:58:42,,session_66580,category,,,desktop,Chrome,711
325,2021-12-14T18:36:44,,session_81915,checkout,,,tablet,Edge,561
326,2021-08-18T12:21:49,,session_42228,category,,,desktop,Edge,240
327,2021-08-13T18:16:34,,session_89751,account,,,mobile,Firefox,660
328,2023-06-10T12:45:54,,session_51530,checkout,,,desktop,Safari,884
329,2023-08-06T15:47:07,4889,session_17883,home,,,tablet,Chrome,1407
330,2023-11-02T22:31:29,2425,session_29552,home,,,mobile,Chrome,95
331,2020-04-20T23:48:19,,session_98245,checkout,,,tablet,Safari,586
332,2024-06-19T19:54:27,,session_57171,cart,,,mobile,Safari,301
333,2024-01-15T22:05:28,,session_87662,product_detail,37,,,,70
334,2022-05-11T03:41:21,,session_74536,category,,,mobile,Firefox,1637
335,2024-10-27T04:11:42,4959,session_99510,home,,,mobile,Samsung Internet,676
336,2024-03-19T00:29:55,1359,session_39755,account,,,desktop,Samsung Internet,981
337,2023-04-05T11:55:41,200,session_38428,product_detail,10,,desktop,Safari,251
338,2021-03-07T16:59:40,,session_69786,home,,,desktop,Chrome,302
339,2020-11-08T07:35:27,,session_20714,checkout,,,tablet,Edge,743
340,2023-10-01T08:42:42,,session_92185,search,,,desktop,Edge,1618
341,2021-01-09T10:56:25,,session_58674,search,,,mobile,Safari,350
342,2021-03-04T09:31:25,,session_15472,product_detail,44,,tablet,Samsung Internet,1109
343,2023-09-06T15:32:59,,session_46744,product_detail,42,,mobile,Edge,1461
344,2021-09-05T06:40:10,2878,session_48218,home,,,mobile,Samsung Internet,1780
345,2024-09-27T18:34:50,2924,session_94708,account,,,desktop,Safari,465
346,2020-04-21T06:17:12,,session_53081,home,,,mobile,Safari,923
347,2020-04-04T13:43:09,,session_73391,search,,,tablet,Edge,423
348,2021-01-10T08:06:24,,session_75958,product_detail,19,,mobile,Edge,-728
349,2020-06-05T14:53:19,,session_24991,account,,,tablet,Firefox,1778
350,2022-04-05T15:08:22,,session_76805,product_detail,32,,desktop,Edge,1227
351,2020-03-30T07:46:22,,session_39168,cart,,,desktop,Firefox,803
352,2020-06-07T11:55:52,,session_16809,category,,,tablet,Safari,709
353,2021-09-23T02:29:03,,session_9978,home,,,tablet,Firefox,872
354,2021-12-19T07:52:03,,session_72448,home,,,tablet,Safari,844
355,2022-11-07T17:25:48,,session_42362,home,,,tablet,Firefox,1734
356,2024-01-02T19:41:58,,session_23377,home,,,desktop,Firefox,140
357,2024-07-18T09:07:01,4935,session_36879,cart,,,mobile,Edge,1498
358,2024-12-23T17:37:12,839,session_87485,home,,,mobile,Samsung Internet,931
359,2022-10-01T21:42:14,,session_81879,category,,,tablet,Samsung Internet,691
360,2020-01-08T23:45:32,,session_82224,cart,,,desktop,Chrome,531
361,2020-11-30T21:41:14,,session_9431,account,,,tablet,Edge,566
362,2021-08-29T01:22:51,,session_7495,home,,,,,863
363,2024-01-12T23:27:50,,session_34832,home,,,mobile,Chrome,1515
364,2020-08-16T00:37:30,,session_40283,product_detail,3,,mobile,Samsung Internet,1063
365,2024-04-27T12:46:56,3731,session_41276,product_detail,30,,mobile,Edge,1280
366,2024-05-02T21:21:25,4171,session_69048,cart,,,tablet,Edge,1743
